Test Index,Result Index,Recall,Precision,F-score,Test Text,Predicted Text
17,68,0.3088235294117647,0.9545454545454546,0.4666666666666667,"['phân công', 'giảng dạy', 'các', 'học', 'phần', 'chung a', 'các', 'học', 'phần', 'ngoại ngữ', 'chung', 'do', 'trường', 'đại học', 'ngoại ngữ', 'giảng dạy', 'trừ', 'các', 'đơn vị', 'có', 'ngànhkhoabộ môn', 'đào tạo', 'ngoại ngữ', 'b', 'các', 'học', 'phần', 'lý luận', 'chính trị', 'do', 'trường', 'đại học', 'kinh tế', 'và', 'trường', 'đại học', 'khoa học xã hội', 'và', 'nhân văn', 'giảng dạy', 'c', 'các', 'học phần', 'pháp luật', 'do', 'trường', 'đại học', 'luật', 'giảng dạy', 'd', 'các', 'học phần', 'giáo dục', 'quốc phòng', 'an ninh', 'do', 'trung tâm', 'giáo dục', 'quốc phòng', 'và', 'an ninh', 'giảng dạy', 'đ', 'các', 'học phần', 'giáo dục', 'thể chất', 'do', 'trung tâm', 'giáo dục', 'thể chất', 'và', 'thể thao', 'giảng dạy', 'e', 'các', 'học', 'phần', 'tin học', 'cơ sở', 'do', 'trường', 'đại học', 'công nghệ', 'và', 'trường', 'đại học', 'khoa học tự nhiên', 'giảng dạy', 'trừ', 'các', 'đơn vị', 'có', 'ngành', 'đào tạo', 'về', 'khoa học', 'máy', 'tínhcông nghệ thông tin', 'g', 'các', 'học', 'phần', 'kỹ năng', 'bổ trợ', 'do', 'đơn vị', 'đào tạo', 'xây dựng', 'chương trình', 'và', 'tổ chức', 'giảng dạy', 'hoặc', 'trung tâm', 'dự báo', 'và', 'phát triển', 'nguồn', 'nhân lực', 'làm', 'đầu mối', 'xây dựng', 'chương trình', 'trình', 'đại học', 'quốc gia', 'hà nội', 'xem xét', 'phê duyệt', 'ban hành', 'và', 'giao', 'nhiệm vụ', 'tổ chức', 'triển khai', 'thực hiện', 'h', 'các', 'học', 'phần', 'còn', 'lại', 'do', 'đơn vị', 'quản lý', 'học', 'phần', 'giảng dạy']","['2', 'phân công', 'giảng dạy', 'các', 'học', 'phần', 'chung']"
53,212,0.30952380952380953,0.8666666666666667,0.45614035087719296,"['một', 'giờ tín', 'chỉ', 'lý thuyết', 'bằng', '01', 'tiết', 'lý thuyết', 'để', 'tiếp thu', 'được', '1', 'giờ', 'tín', 'chỉ', 'lý thuyết', 'sinh viên', 'phải', 'dành', 'ít nhất', '2', 'tiết', 'chuẩn bị', 'cá nhân']","['2', 'buộc', 'thôi', 'học']"
49,196,0.3333333333333333,0.75,0.46153846153846156,"['thực hành', 'sinh viên', 'học tập', 'qua', 'thực hành', 'thực tập', 'làm', 'thí nghiệm', 'làm', 'bài tập', 'thảo luận', 'đọc', 'và', 'nghiên cứu', 'tài liệu', 'dưới', 'sự', 'hướng dẫn', 'của', 'giảng viên']","['1', 'hình thức', 'dạy học']"
37,148,0.3333333333333333,0.75,0.46153846153846156,"['thực hành', 'sinh viên', 'học tập', 'qua', 'thực hành', 'thực tập', 'làm', 'thí nghiệm', 'làm', 'bài tập', 'thảo luận', 'đọc', 'và', 'nghiên cứu', 'tài liệu', 'dưới', 'sự', 'hướng dẫn', 'của', 'giảng viên']","['1', 'hình thức', 'dạy học']"
77,308,0.3392857142857143,0.95,0.5000000000000001,"['mỗi', 'học', 'phần', 'có', 'ngân hàng', 'câu', 'hỏi', 'do', 'đơn vị', 'quản lý', 'học', 'phần', 'tổ chức', 'biên soạn', 'được', 'hội đồng', 'khoa học', 'và', 'đào tạo', 'cấp', 'khoa', 'thẩm định', 'và', 'được', 'chủ nhiệm', 'khoabộ môn', 'cho phép', 'sử dụng', 'để', 'lựa chọn', 'làm', 'đề', 'kiểm tra', 'đánh giá']","['4', 'ngân hàng', 'câu', 'hỏi', 'của', 'học', 'phần']"
52,208,0.35135135135135137,0.8125,0.49056603773584906,"['tự', 'học sinh viên', 'tự', 'học tập', 'và', 'nghiên cứu', 'theo', 'kế hoạch', 'và', 'nội dung', 'do', 'giảng viên', 'giao', 'và', 'được', 'kiểm tra', 'đánh giá']","['1', 'hình thức', 'dạy học']"
38,152,0.35135135135135137,0.8125,0.49056603773584906,"['tự', 'học sinh viên', 'tự', 'học tập', 'và', 'nghiên cứu', 'theo', 'kế hoạch', 'và', 'nội dung', 'do', 'giảng viên', 'giao', 'và', 'được', 'kiểm tra', 'đánh giá']","['1', 'hình thức', 'dạy học']"
97,388,0.42105263157894735,0.9411764705882353,0.5818181818181818,"['sinh viên', 'trả', 'học phí', 'theo', 'kỳ', 'hoặc', 'số', 'tín', 'chỉ', 'đăng ký', 'học', 'trong', 'mỗi', 'học kỳ', 'tại', 'đơn vị', 'đào tạo', 'quản lý', 'ngành', 'học', 'mà', 'sinh viên', 'theo', 'học']","['m', 'số', 'học phí', 'phải', 'nộp']"
39,156,0.4418604651162791,0.8636363636363636,0.5846153846153846,"['tín', 'chỉ', 'là', 'đại lượng', 'xác định', 'khối lượng', 'kiến thức', 'kỹ năng', 'mà', 'sinh viên', 'tích', 'lũy', 'được', 'từ', 'học', 'phần', 'trong', '15', 'giờ', 'tín', 'chỉ']","['2', 'thiết kế', 'chương trình', 'đào tạo']"
98,392,0.5384615384615384,0.9545454545454546,0.6885245901639344,"['thủ trưởng', 'đơn vị', 'đào tạo', 'quyết định', 'việc', 'sử dụng', 'kinh phí', 'đào tạo', 'theo', 'quy chế', 'chi tiêu', 'nội bộ', 'của', 'đơn vị']","['2', 'sử dụng', 'kinh phí', 'đào tạo']"
